"filename", "language", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\x0164\Desktop\idocnet\.VSCodeCounter\2021-04-18_05-34-51\details.md", "Markdown", 0, 16, 0, 0, 6, 22
"c:\Users\x0164\Desktop\idocnet\.VSCodeCounter\2021-04-18_05-34-51\results.md", "Markdown", 0, 20, 0, 0, 7, 27
"c:\Users\x0164\Desktop\idocnet\.VSCodeCounter\2021-04-18_06-22-26\details.md", "Markdown", 0, 18, 0, 0, 6, 24
"c:\Users\x0164\Desktop\idocnet\.VSCodeCounter\2021-04-18_06-22-26\results.md", "Markdown", 0, 22, 0, 0, 7, 29
"c:\Users\x0164\Desktop\idocnet\README.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\x0164\Desktop\idocnet\css\default.css", "CSS", 113, 0, 0, 0, 26, 139
"c:\Users\x0164\Desktop\idocnet\css\list-products.css", "CSS", 29, 0, 0, 0, 7, 36
"c:\Users\x0164\Desktop\idocnet\css\product.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\x0164\Desktop\idocnet\index.html", "HTML", 0, 0, 14, 0, 0, 14
"c:\Users\x0164\Desktop\idocnet\vi\danh-sach-san-pham\xe-du-lich.html", "HTML", 0, 0, 258, 28, 3, 289
"c:\Users\x0164\Desktop\idocnet\vi\san-pham\grand-i10.html", "HTML", 0, 0, 198, 24, 4, 226
"Total", "-", 142, 77, 470, 52, 67, 808
